atom_type	size	hits	expected	rf	rf_low	rf_high	type	alpha_min	alpha_max	RDKit_SMARTS	RDKit_SMARTS_index	ligand_atom_type	interaction_types
other_ligand	41	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
metal	7	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_ali_weak_pol	269	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_ali_don	267	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_pi_carbonyl	263	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_pi_phenyl	229	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_pi_don	55	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_pi_neg	151	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_pi_pos	21	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
O_ali_mix	99	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
O_pi_mix	76	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
O_pi_acc	264	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
O_pi_acc_neg	169	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_don_pos	93	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_pi_don_pos	44	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_pi	7	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_pi_amide_don	261	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_pi_arom_don	47	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_pi_arom_acc	18	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
S_mix	42	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
S_apol	128	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
Water	237	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
other_ligand	41	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
metal	7	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_ali_weak_pol	269	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_ali_don	267	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_pi_carbonyl	263	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_pi_phenyl	229	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_pi_don	55	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_pi_neg	151	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_pi_pos	21	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
O_ali_mix	99	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
O_pi_mix	76	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
O_pi_acc	264	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
O_pi_acc_neg	169	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_don_pos	93	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_pi_don_pos	44	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_pi	7	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_pi_amide_don	261	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_pi_arom_don	47	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_pi_arom_acc	18	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
S_mix	42	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
S_apol	128	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
Water	237	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
other_ligand	41	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
metal	7	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_ali_weak_pol	269	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_ali_don	267	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
