atom_type	size	hits	expected	rf	rf_low	rf_high	type	alpha_min	alpha_max	distance_min	distance_max	ligand_atom_type	interaction_types
other_ligand	41	0.0	0.0496001687226419	0.0			?	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	0.0	0.4788795909864636	0.0	0.0		0	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	0.0	0.3199989432618043	0.0	0.0		0	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	0.0	0.2132596328733777	0.0	0.0		0	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	0.0	0.0843259670771324	0.0	0.0		0	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	0.0	0.3201846035960894	0.0	0.0		0	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	0.0	0.0182401577977639	0.0	0.0		0	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	0.0	0.0376632863226974	0.0	0.0		0	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	0.0	0.0257146143619035	0.0	0.0		0	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	0.0	0.0644459496453373	0.0	0.0		0	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	2.0	0.542917843091155	3.683798617877076	0.0		0	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
O_pi_acc_neg	169	0.0	0.0799601300528162	0.0	0.0		0	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	desolvation;pi
N_pi_amide_don	261	0.0	0.1819660828310207	0.0	0.0		0	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	47	0.0	0.011357051737391	0.0			?	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
S_apol	128	0.0	0.0322449041194944	0.0	0.0		0	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	hydrophobic
Water	237	1.0	0.539241073522911	1.8544581433066831	0.0		0	0	180	2.75	3.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
other_ligand	41	1.0	0.429158000444101	2.33014414030539			?	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	
metal	7	0.0	0.103739026450799	0.0			?	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	2.0	5.768305697222306	0.3467222621302973	0.0	0.8461092341822385	-	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	0.0	3.883996794785112	0.0	0.0	0.0	-	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	1.0	2.065070084877044	0.4842450662198909	0.0	1.4928826357193794	0	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	0.0	0.5684405429734354	0.0	0.0	0.0	-	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	0.0	1.6966800231427397	0.0	0.0	0.0	-	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_neg	151	0.0	0.2301959527390605	0.0	0.0	0.0	-	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	0.0	0.0114009541756604	0.0			?	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	desolvation;pi
