atom_type	size	hits	expected	rf	rf_low	rf_high	type	alpha_min	alpha_max	h_min	h_max	ligand_atom_type	interaction_types
other_ligand	41	0.0	0.7084588326714254	0.0			?	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	
metal	7	0.0	0.1002653259300445	0.0			?	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	4.0	9.615390000218213	0.4159997670306897	0.093385042511363	0.8662761826721613	-	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	0.0	5.567338074202359	0.0	0.0	0.0	-	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	0.0	2.3124927379756244	0.0	0.0	0.0	-	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	0.0	0.9164636301860638	0.0	0.0	0.0	-	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	10.0	3.620966146856492	2.761693866892793	1.0300074480119523	4.40032489959408	+	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	0.0	0.2256943895849112	0.0	0.0	0.0	-	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	0.0	0.3356932910501	0.0	0.0	0.0	-	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	0.0	0.0295397122685064	0.0			?	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	1.0	0.4640131460943795	2.1551113549627785	0.0	8.877889068001636	0	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	0.0	0.2187982268478707	0.0	0.0	0.0	-	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	13.0	4.98058863625486	2.610133249184641	1.6884124670780958	3.4431216191711567	+	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
O_pi_acc_neg	169	1.0	1.1623105064742765	0.8603552961362922	0.0	3.102281381907878	0	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	desolvation;pi
N_don_pos	93	0.0	0.2995950783972251	0.0	0.0	0.0	-	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
N_pi_don_pos	44	0.0	0.2247847213709821	0.0			?	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak;pi
N_pi	7	0.0	0.0034444453977904	0.0			?	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
N_pi_amide_don	261	1.0	2.036534412160484	0.4910302492454017	0.0	1.793653140907413	0	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	47	0.0	0.1053926878751606	0.0			?	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_acc	18	0.0	0.021211820677152	0.0			?	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
S_mix	42	0.0	0.1084318332160615	0.0			?	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
S_apol	128	3.0	0.6214258984612779	4.827606972011217	0.0	10.506292137376803	0	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	hydrophobic
Water	237	5.0	4.321166445828743	1.1570949794878975	0.313671090882873	1.9101471991881864	0	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
other_ligand	41	1.0	1.7328654748667955	0.5770788410894212			?	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	
metal	7	0.0	0.2546958852806064	0.0			?	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	4.0	12.577732841255754	0.3180223376091873	0.0	0.7127775061557843	-	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	1.0	7.659738903227458	0.1305527528593235	0.0	0.4628796406240462	-	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	0.0	3.245198618458531	0.0	0.0	0.0	-	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	1.0	1.4290152054766283	0.6997826168451886	0.0	2.253852068859848	0	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	7.0	4.08221331006035	1.7147560571489378	0.7077944795711371	3.0316037289910995	0	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	0.0	0.4374322343654098	0.0	0.0	0.0	-	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	0.0	0.2739553405518299	0.0	0.0	0.0	-	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	0.0	0.0145908680415261	0.0			?	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	1.0	0.5704866530769985	1.752889387694457	0.0	6.375631527841344	0	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	0.0	0.2897053637754671	0.0	0.0	0.0	-	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	18.0	6.074391829071081	2.963259616189861	1.960286848203472	4.159587984356931	+	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
