atom_type	size	hits	expected	rf	rf_low	rf_high	type	alpha_min	alpha_max	RDKit_SMARTS	RDKit_SMARTS_index	ligand_atom_type	SMARTS	SMARTS_index	interaction_types
O_ali_mix	392.0	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
O_ali_mix	392.0	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
O_ali_mix	392.0	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
O_ali_mix	392.0	0.0	0.1383891337421807	0.0	0.0	0.0	-	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
O_ali_mix	392.0	1.0	1.366792382164909	0.7316400157396735	0.0	2.4039341130640484	0	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
O_ali_mix	392.0	0.0	3.128600101610853	0.0	0.0	0.0	-	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
O_ali_mix	392.0	2.0	2.882772836894263	0.6937764829762609	0.0	1.80684902054632	0	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
O_ali_mix	392.0	4.0	1.4362584412190555	2.7850140930102474	0.681691810073161	5.454961581354764	0	20	40	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
O_ali_mix	392.0	0.0	0.4948480654832942	0.0	0.0	0.0	-	0	20	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
C_pi_carbonyl	335.0	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_pi_carbonyl	335.0	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_pi_carbonyl	335.0	0.0	1.5653839894679649	0.0	0.0	0.0	-	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_carbonyl	335.0	10.0	17.890962728815026	0.5589414136945291	0.2613606610021669	0.93318312116693	-	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_carbonyl	335.0	11.0	20.35688650368846	0.5403576818098834	0.2649705048316439	0.8493235165451082	-	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_carbonyl	335.0	10.0	16.290200716811658	0.6138659783166389	0.2708154910121846	0.9968005503239508	-	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_carbonyl	335.0	0.0	2.922749634827121	0.0	0.0	0.0	-	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_carbonyl	335.0	0.0	0.5084519935062881	0.0	0.0	0.0	-	20	40	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_carbonyl	335.0	0.0	0.0293868994815567	0.0	0.0		0	0	20	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi	458.0	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi	458.0	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi	458.0	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi	458.0	1.0	0.1160286635046124	8.618560016079542	0.0		0	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi	458.0	0.0	0.0704614251190733	0.0	0.0		0	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi	458.0	0.0	0.0704614251190733	0.0	0.0		0	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi	458.0	1.0	0.045567238385539	21.94559151333943	21.94559151333943		0	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi	458.0	0.0	0.0				?	20	40	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi	458.0	0.0	0.0				?	0	20	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi_arom_acc	455.0	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi_arom_acc	455.0	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi_arom_acc	455.0	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
