atom_type	size	hits	expected	rf	rf_low	rf_high	type	alpha_min	alpha_max	distance_min	distance_max	ligand_atom_type	SMARTS	SMARTS_index	interaction_types
O_ali_mix	392	0.0	0.5346389248014635	0.0	0.0	0.0	-	0.0	180.0	2.5	2.75	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hbond_weak
O_ali_mix	392	0.0	1.230741723442421	0.0	0.0	0.0	-	0.0	180.0	2.75	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hbond_weak
O_ali_mix	392	1.0	1.7141219639851566	0.5833890592447128	0.0	2.2915526774979984	0	0.0	180.0	3.0	3.25	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hbond_weak
O_ali_mix	392	5.0	2.783605597889688	1.7962314789820115	0.4719738158916834	3.3283627316360125	0	0.0	180.0	3.25	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hbond_weak
O_ali_mix	392	1.0	2.9982886427542685	0.3335235926723141	0.0	1.1884570995881858	0	0.0	180.0	3.5	3.75	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hbond_weak
O_ali_mix	392	0.0	0.1637252878982638	0.0	0.0	0.0	-	0.0	180.0	3.75	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hbond_weak
C_pi_carbonyl	335	0.0	0.0				?	0.0	180.0	2.5	2.75	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	
C_pi_carbonyl	335	0.0	0.044641769607475	0.0	0.0		0	0.0	180.0	2.75	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hydrophobic;pi
C_pi_carbonyl	335	0.0	1.1512358866166723	0.0	0.0	0.0	-	0.0	180.0	3.0	3.25	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hydrophobic;pi
C_pi_carbonyl	335	5.0	3.002655810419371	1.6651925214504244	0.3950439429309184	2.9446826462612368	0	0.0	180.0	3.25	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hydrophobic;pi
C_pi_carbonyl	335	3.0	7.957875810059046	0.3769850235923373	0.0	0.7854120219949122	-	0.0	180.0	3.5	3.75	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hydrophobic;pi
C_pi_carbonyl	335	3.0	10.177092473431534	0.2947796738441597	0.0	0.6431486244502161	-	0.0	180.0	3.75	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hydrophobic;pi
N_pi	458	0.0	0.0				?	0.0	180.0	2.5	2.75	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	
N_pi	458	0.0	0.0				?	0.0	180.0	2.75	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	
N_pi	458	0.0	0.0				?	0.0	180.0	3.0	3.25	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	
N_pi	458	0.0	0.0395801512156486	0.0	0.0		0	0.0	180.0	3.25	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hydrophobic;pi
N_pi	458	1.0	0.045567238385539	21.94559151333943	21.94559151333943		0	0.0	180.0	3.5	3.75	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hydrophobic;pi
N_pi	458	0.0	0.0308812739034246	0.0	0.0		0	0.0	180.0	3.75	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hydrophobic;pi
N_pi_arom_acc	455	0.0	0.0				?	0.0	180.0	2.5	2.75	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	
N_pi_arom_acc	455	0.0	0.1007219195446948	0.0	0.0		0	0.0	180.0	2.75	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hydrophobic;pi
N_pi_arom_acc	455	0.0	0.0371388833137396	0.0	0.0		0	0.0	180.0	3.0	3.25	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hydrophobic;pi
N_pi_arom_acc	455	0.0	0.0871860746865473	0.0	0.0		0	0.0	180.0	3.25	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hydrophobic;pi
N_pi_arom_acc	455	0.0	0.2325931012881332	0.0	0.0	0.0	-	0.0	180.0	3.5	3.75	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hydrophobic;pi
N_pi_arom_acc	455	0.0	0.2718051830588202	0.0	0.0	0.0	-	0.0	180.0	3.75	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	desolvation;hydrophobic;pi
C_pi_don	430	0.0	0.0				?	0.0	180.0	2.5	2.75	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	
C_pi_don	430	0.0	0.034928942515902	0.0	0.0		0	0.0	180.0	2.75	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	hydrophobic;hbond_weak;pi
C_pi_don	430	0.0	0.3084221521735414	0.0	0.0	0.0	-	0.0	180.0	3.0	3.25	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	hydrophobic;hbond_weak;pi
C_pi_don	430	2.0	1.2458519996017898	1.6053271180198432	0.0	3.592098697181185	0	0.0	180.0	3.25	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3.0	hydrophobic;hbond_weak;pi
