atom_type	size	hits	expected	rf	rf_low	rf_high	type	alpha_min	alpha_max	h_min	h_max	ligand_atom_type	SMARTS	SMARTS_index	interaction_types
C_pi_carbonyl	335	0.0	0.0293868994815567	0.0	0.0		0	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_carbonyl	335	0.0	0.0435370183649155	0.0	0.0		0	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_carbonyl	335	0.0	0.0439225233694212	0.0	0.0		0	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_carbonyl	335	0.0	0.162084178800325	0.0	0.0		0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_carbonyl	335	0.0	0.5575192899299313	0.0	0.0	0.0	-	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_carbonyl	335	0.0	2.1339830698638886	0.0	0.0	0.0	-	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_carbonyl	335	9.0	11.73870452744888	0.766694483105448	0.3462818389683509	1.282232266064595	0	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_carbonyl	335	2.0	8.95993673351	0.2232158618397423	0.0	0.5981177247384606	-	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi	458	0.0	0.0				?	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi	458	0.0	0.0				?	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi	458	0.0	0.0				?	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi	458	0.0	0.0				?	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi	458	0.0	0.0				?	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi	458	0.0	0.0				?	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi	458	1.0	0.0851473896011877	11.744341249729292	0.0		0	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi	458	0.0	0.0308812739034246	0.0	0.0		0	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_arom_acc	455	0.0	0.1007219195446948	0.0	0.0		0	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
N_pi_arom_acc	455	0.0	0.0				?	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi_arom_acc	455	0.0	0.0371388833137396	0.0	0.0		0	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
N_pi_arom_acc	455	0.0	0.0615028627813046	0.0	0.0		0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_arom_acc	455	0.0	0.0239805896589241	0.0	0.0		0	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_arom_acc	455	0.0	0.0257053733893498	0.0	0.0		0	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_arom_acc	455	0.0	0.1993912013764927	0.0	0.0	0.0	-	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_arom_acc	455	0.0	0.2810043318274293	0.0	0.0	0.0	-	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_don	430	0.0	0.276576280178816	0.0	0.0	0.0	-	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;hbond_weak;pi
C_pi_don	430	0.0	0.2567904277453075	0.0	0.0	0.0	-	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;hbond_weak;pi
C_pi_don	430	1.0	0.3966378270554893	2.521191706357601	0.0	4.352484429158615	0	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;hbond_weak;pi
C_pi_don	430	0.0	0.4841588082264094	0.0	0.0	0.0	-	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_don	430	0.0	0.6409088419533812	0.0	0.0	0.0	-	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_don	430	0.0	0.3898424066396106	0.0	0.0	0.0	-	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_don	430	1.0	1.6989161614038797	0.5886105640278693	0.0	1.5887446556432372	0	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_don	430	0.0	1.2079396220572265	0.0	0.0	0.0	-	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
N_pi_don_pos	434	0.0	0.512616982750779	0.0	0.0	0.0	-	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak;pi
N_pi_don_pos	434	0.0	0.4866999600371332	0.0	0.0	0.0	-	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak;pi
N_pi_don_pos	434	0.0	0.1898636924637098	0.0	0.0	0.0	-	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak;pi
N_pi_don_pos	434	1.0	0.3345637720393623	2.988966778753162	0.0	12.252714873395814	0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
N_pi_don_pos	434	0.0	0.3619140409946561	0.0	0.0	0.0	-	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
